Subject,Relation,Object
""" మహిళా",చేసినవి,హత్యపై
సుబేదారీ పోలీసు,విచారించారు,అదుపులోకి
ముమ్మాటికీ హత్యేనని,అభిప్రాయపపడ్డారు,కుటుంబీకులు
సారిక కుమారులకు,జరిగాయి,వాటికలో
కుటుంబ సభ్యులతో,పాల్గొన్నారు,సంఘంలో
షాహిన్స్ ఆర్గనైజేషన్,చిక్కినది,చేతికి
మామలు తనను,పేర్కొన్నది,పదే
పిల్లలను అలవాటైపోయినదని,తెలిపినది,తనని
అధికారం చేతులలో,తెలిపినది,ఏమీ
అనిల్ను తల్లిదండ్రులు,తెలిపినది,అతనికే వత్తాసు మెయిల్
ప్రేమను అర్థం,వాపోయింది,తప్పిదాన్ని
గర్భిణినని చూడకుండా,పేర్కొన్నది,వంటింటికి గదులకు
తాను కలకత్తా,తెలిపినది,మహానగరాలలో
తొలుత వివాహేతర,తెలిపినది,దాడికి
పుట్టింటివారు చీరను,తెలిపినది,సైతం
బాధలకు మాటలకు,తెలిపినది,మెయిల్
చుట్టుప్రక్కల సారిక,తెలిపారు,వారిని
అభినవ్ అనిల్,తెలిపారు,మాధవియేనని
గతంలో అభినవ్,వెలువరించాయి,సెంటిమెంటుతో ఇంటికి
అనిల్ నిర్లక్ష్యానికి,తెలిపినవి,సారిక స్నేహితుల సహాయంతో
సారిక సాధారణ,తెలిపారు,గృహిణిగా
సారిక సాఫ్టువేర్,ఆరోపించాయి,ఉద్యోగంలో సమయంలో బంగారాన్ని
మామలు అనిల్,సమర్పించారు,దారుణానికి కోర్టుకు రిపోర్టును
సారికనే బెడ్,తెలిపారు,లోకి లోపలి
మొత్తం మంది,తెలిపారు,సాక్షులను అభిప్రాయానికి
కిరోసిన్ పెట్రోలు,తెలిపారు,అవశేషాలేవీ గదిలో
అనుమానాస్పాద మృతిగా,తొలగించారు,సెక్షను పోలీసులు
బెయిలు రాజయ్య,వేశారు,దంపతులు
వేధింపులకు గతంలో,తెలిపారు,ఇంట్లో ఎన్నికలలో ఇంటికి
అనిల్ అక్రమ,తీసుకొనబడింది,సంబంధం అదుపులోకి
వరంగల్ జిల్లా,నిరాకరించింది,కుటుంబీకులకు బెయిళ్ళను
సారికది హత్య,కలుపబడలేదని,ఆహారంలో
ప్రమాదవశాత్తు సిలిండర్,చేసినది,లీకేజీ
వర్కూరు కర్నూలు,గ్రామము,జిల్లా మండలానికి
సైన్స్ డిగ్రీ,ఉన్నాయి,కోడుమూరులోను కళాశాల కర్నూలులోనూ
వైద్య కళాశాల,ఉన్నాయి,కళాశాల కర్నూలులో
వృత్తి విద్యా,ఉన్నాయి,కర్నూలులో
పారామెడికల్ సిబ్బంది,ఉన్నారు,ఒకరు
గ్రామంలో ప్రైవేటు,సౌకర్యాలున్నాయి,వైద్య
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
కాలువ వాగు,లభిస్తుంది,గ్రామానికి
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
గ్రామంలో ప్రభుత్వ,ఉన్నాయి,రెండు
బాలబడి మాధ్యమిక,ఉన్నాయి,అంకిళ్ళలోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,నగర్లోనూ
వైద్య కళాశాల,ఉన్నాయి,నగర్లో
వృత్తి విద్యా,ఉన్నాయి,నగర్లో
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
కాలంలో ఆమె,పాడింది,సినిమాల్లో పాటలు
ఆశా భోస్లే,జన్మించింది,మహారాష్ట్రకు
బెస్ట్ ఫిమేల్,పొందినది,పురస్కారాలు
దోనె ఆత్కూరు,గ్రామము,మండలానికి
గతంలో వీజీటీఎం,చేరాయి,పరిధిలో
విజయవాడ రూరల్,ప్రాంతం,మండలం పరిధితో పరిధిలోకి
విజయవాడ అర్బన్,ఉన్నది,ఏరియా
ఇబ్రహీంపట్నం మండలం,జి,ఏరియా ఏరియా
దోనె ఆత్కూరు,ఉన్నాయి,సమీపంలో
ఇంద్రకీలాద్రి మంగళగిరి,ఆకర్షణలు,గ్రామానికి సమీపంలో
ఖండ్రిక పశ్చిమ,గ్రామము,మండలానికి
సంచార వైద్య,లేరు,శాలలో
సైన్స్ డిగ్రీ,ఉన్నాయి,తాడేపల్లిగూడెంలోనూ
సంచార వైద్య,లేరు,శాలలో
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
చక్రధర్ చెల్లెలితో,మొదలవుతుంది,ఇద్దర్ని
శిక్ష విడుదలై,వెళుతుంది,అతనితో కోటిపల్లి
రఛ్ఛబండ తనను,కృష్ణ,జైలుకు
వ్యతిరేకంగా సాక్ష్యం,పరుస్తుంది,అతనికి కథానాయిక
భాగంలో కృష్ణ,తెలుసుకుంటుంది,నిజం
చరణ్ రాజ్,పడతారు,కృష్ణని కథానాయికలూ
మర్రిపాలెం విశాఖపట్నం,గ్రామం,జిల్లా మండలానికి
బాలబడి ప్రాథమిక,ఉన్నాయి,పెదగరువులోను పెదగరువులోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల పాడేరులోనూ
సమీప వైద్య,ఉన్నాయి,పాడేరులోను కళాశాల అనకాపల్లిలోనూ
వృత్తి విద్యా,ఉన్నాయి,అనకాపల్లిలోను
సంచార వైద్య,లేరు,శాలలో
మురుగునీటిని శుద్ధి,పంపిస్తున్నారు,ప్లాంట్‌లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,గంటల కోసం
నల్లబిల్లి కాశీపతిరాజపురం,గ్రామము,మండలానికి
తెలుగు జానపద,ఉన్నది,వారికి
వినోదాన్ని విజ్ఞానాన్ని,కళలే,ప్రజలకు
ప్రాచీన సమాజంలో,లేదు,వినోదం
పరివర్థితులైన శిష్టుల,అయ్యేవి,ప్రజల కొలువులకు
సామాన్యానికి జానపదులకు,కళలే,జీవితాన్నే
పురాణాలన్నింటినీ దృశ్య,ప్రజాకళలే,మాధ్యమంలో
తెలుగు జానపద,అవుతాయి,చరిత్రలోనికి మనకు
పరివర్థిత నాటకానికి,మూలాలు,నాటకానికి
సంవత్సరాలనాటిదిగా భరతుని,ఉన్నాయి,నాట్య
ప్రాచీన కాలంనుండి,లేవు,కాలంనుండి
శాతవాహనులు తెలుగు,చెబుతున్నారు,రాజులు
నాటిదైన సప్తశతిలో,చూపారు,సంగీత వాద్యాలకు విద్వాంసులు
ఆధారాలు అవి,కష్టం,భాషలో
వ శతాబ్ది,చెప్పవచ్చు,కాలంనాటికే ఆధారాలతో
ఆధారాలు లేనంత,వీలులేదు,శతాబ్దాలలో
ఆరవ శతాబ్ది,చూపుతున్నారు,కాలంనాటికే
వివరమైన ఆధారాలు,లభించలేదు,వాటిని శాసనాలలో
క్రీస్తుశకం ప్రాంతం,రచించాడు,సాహిత్యంలో
జానపద గేయాలలో,ఉంటాయి,రూపాలు
ప్రచారం అవసరం,రచించారు,సాహిత్యానికి
జానపద జీవితాన్ని,వర్ణించాడు,జానపదులైన
అవసరం,లేదు,వాటిని
రోకళ్ళ పాటలను,చెప్పాడు,వాటిని ఘట్టాల్ని
రాయలసీమలో మెరవణిని,ప్రస్తావించాడు,ఆనాడే
చిందువారి ప్రసక్తి,కావచ్చు,యక్షగానం
వెడయాట కోడంగియాట,చెప్పాడు,వాటిని
యుగాలలోని కావ్యాలలో,కనిపిస్తుంది,మనకు
కిషన్ రావుగారు,చేశారు,పరిశోధన
మంది పండితులు,అందిచారు,పరిశోధనలలో కళలకు తావుల్లో
ఆధారాలు కాలం,లభించవచ్చు,పరిశోధనలలో
తెలుగు జానపద,కనిపిస్తాయి,వృత్తిగా
భారత దేశంలోని,జానపదకళలే,రాష్ట్రాలలో ప్రాంతాలలో
ఒగ్గుకథ పంబకథ,కళారూపాలే,వృత్తిగా
ఉదాహరణలు,చూడవచ్చు,కొన్ని
ఎవరు విషయాన్ని,చేయవచ్చు,ఎవరికి విభజన
అనియతాశ్రయ కళారూపాలు,అర్థం,వారి
ఉదాహరణకి పాముల,ప్రదర్శిస్తాడు,గ్రామంలో ఆగ్రామంలో అందరికీ
హరిదాసు గ్రామానికి,తీసుకుంటాడు,ఇండ్లకు
బహురూపుల పగటివేషగాళ్ళు,ప్రదర్శిస్తారు,కళను
తోలు బొమ్మలాట,ప్రదర్శించబడతాయి,అందరికోసం
మరికొన్నికళారూపాలనూ,చెప్పవచ్చు,వాటిని
కళలను కళాకారులు,అనవచ్చు,ఊరి
కులంవారికే జానపద,ఉన్నాయి,కాకుండా
రుంజకథా గాయకుడు,లేదు,గ్రామానికి మొత్తానికి
ప్రత్యేకించి దాతలైన,ప్రదర్శిస్తాడు,అతనికి
కళారూపంలో కథ,మాత్రమే,కులానికి
కళా ప్రదర్శన,ఉంటుంది,విశ్వబ్రాహ్మణులకు
కళా ప్రదర్శన,ఉంటుంది,రెడ్లకు పరిమితమై
అతను కథ,మాత్రమే,వారికి
ఉద్దేశంలో అతను,మాత్రమే,కథ రెడ్లకు
కూనపులి సాలె,చెప్తారు,కథ
చిందువారు గోసంగి,ప్రదర్శిస్తారు,వేషాన్ని మాదిగవారికి
కులాలవారికి ఆశ్రితులు,చెప్తున్నారు,కథను
ప్రదర్శిచే జానపద,అనవచ్చు,కళలను కళారూపాలు
తెలుగు జానపద,కుదరదు,కళలలో వైవిధ్యాన్ని
కళాకారుడు పాత్రలు,ప్రదర్శిస్తాడు,నటించి కథను ప్రేక్షకులకు
పిట్టల దొర,ఉండదు,ప్రదర్శనలో
కళాకారులు కళారూపాలు,ఉన్నాయి,దీని మనకు
కళాకారులు ఒకడు,కళారూపాలు,ఉండి ఇద్దరు కాలానికి
తెలుగులో ఉన్నన్ని,కష్టం,దేశంలోని
కళాకారులు కథను,ఉంటుంది,ఉండడంలో
కథను సందర్భంలోనూ,జరుగుతుంది,పాటలో
కథాగానాన్ని కథకుడే,జరుగుతుంది,ముగ్గురి
కళాకారులు కథను,చిత్రిస్తారు,గుడ్డమీద
చుట్టను గుంజల,ప్రత్యేకత,కర్రతో
వేలాడ పటానికి,ప్రదర్శిస్తారు,సహాయంతో
కథకుడు వంతలు,ప్రత్యేకత,కళాప్రదర్శనలో
కథలోని పాత్రలను,చెబుతారు,బొమ్మలుగాచేసి వాటిని కథను
కళాప్రదర్శన పరిణామ,వీలుంది,బొమ్మలాటకు
తోలుబొమ్మలాటను ప్రక్రియా,చెప్పడానికివీలుంది,పరిణామం
వ్యక్తి పాత్రను,వీలుంది,కథను
తెలుగులో వీధినాటక,ఉన్నాయి,ప్రాంతాలలో
తెలంగాణా సర్కారు,ఇలాంటివి,ప్రాంతాలలో
రంగస్థలం,లేదు,వీటికి
వీధినాటక రీతి,ఉన్నాయి,పూర్తినాటకానికి తెలుగులో యక్షగాన
పాత్రలకు పాత్రధారులు,యక్షగానం,రంగస్థలాన్ని
యక్షగాన ప్రదర్శలనకు,ప్రదర్శించవచ్చు,రంగస్థలం
చిందు యక్షగానాన్ని,లభిస్తున్నాయి,తెలుగులో యక్షగానాలలోనికి
తెలంగాణా యక్షగాన,ఉంటుంది,యక్షగానానికి
కర్ణాటకలో ఈనాడు,కనిపిస్తుంది,ప్రచారంలో యక్షగానంనుండి
కూచిపూడి యక్షగానం,చెందుతుంది,కాలంలో కాలంనుండి
ప్రాచీన కాలంనుండి,తోలుబొమ్మలాటలు,కళలో
దీన్ని ప్రాచీన,చెప్పవచ్చు,కాలపు సినిమాగా
మానవ పాత్రలతో,పరిణామం,బొమ్మలతో
జానపద కళా,మచ్చులు,మనిషి
తెలుగు కళాప్రదర్శన,ఉన్నాయి,వారికి
తోలు బొమ్మలాట,యక్షగానం,సంగీత
పాత్రలు మనుషులకు,ఉంటాయి,బొమ్మలు
మాతృభాష మరాఠీ,కనిపించదు,ప్రదర్శనలో తెలుగులో
తెలుగు మాతృభాషగా,ఉంటుంది,వారి
బుడిగజంగాలు,అనిఅంటారు,వీరిని
శతాబ్ది నాటికే,లభించాయి,ఉందని
అవసరమైన చెక్క,ఉన్నాయి,వీరికి బొమ్మలు
ప్రదర్శన కళలలో,చూశాము,పాత్రధారులతో సంప్రదాయంలో
ఉత్తరాంధ్రప్రాంతంలోప్రవర్తితమయ్యే తప్పెటగుళ్ళు,ప్రధానమైంది,సంగీత
ప్రదర్శనకు తావు,ఉంటుంది,వాద్యానికి సంగీతానికి
నృత్య సంప్రదాయాలు,ఉన్నాయి,మనకు
భూమి సూర్యుని,అంటారు,భ్రమణ స్థానానికి
ఉదాహరణకు సూర్యుని,అనవచ్చును,చుట్టూ
గ్రిగేరియన్ కేలెండర్,అనుసరిస్తాయి,year
విధానంలో సంవత్సరం,నిరూపించారు,నగరంలో జోన్
లీప్ సంవత్సరం,సరిచేస్తుంటారు,వంటివాటితోలో
పృథ్వీరాజ్ కపూర్,కళాకారుడు,పరిశ్రమలో
పృథ్వీరాజ్ 1906,జన్మించాడు,పాకిస్తాన్ లోని లయాల్‌పూర్ కుటుంబంలో
పృథ్వీరాజ్ పంజాబీతో,మాట్లాడేవాడు,భాషలు
ఖమ్మం జిల్లాలో,కృషిచేశాడు,వికాసానికి
ఖమ్మం జిల్లా,జన్మించాడు,దుమ్ముగూడెంలో
సంపన్న కుటంబంలో,కలిగింది,నాటకాలపై
1914లోనే దుమ్మగూడెంలో,జరిగాయి,ప్రోద్బలంతో
సుజన వినోదిని,స్థాపించాడు,సమాజాన్ని 1944లో కళాసమితిని
మరళీ మనోహర,వహించాడు,ఆహ్వానంపై సమాజం నాటకాలను దర్శకత్వం
వేదములు పురాణములు,చాటుచున్నవి,మాహిమను
భస్మ స్నానము,సమానము,సర్వతీర్ధాలు
విభూది నొసట,తారుమారగును,ధరించి
హోమగుండంలో మోదుగ,ఉపయోగిస్తారు,ఆవునెయ్యి
కుడిచేతి మధ్యమ,తీసుకోవాలి,వేళ్ళ విభూతిని చేతిలోకి
నుదుటిపై ఎడమవైపు,తీర్చిదిద్దాలి,కుడివైపుకు
అంగుష్టముతో విభూతి,అంటారు,కుడివైపు ఎడమవైపుకు మూడు
విభూతి నుదిటిపై,ధరించకూడదు,క్రిందికిగాని
విభూతిధారణ దేవతాపూజ,సిద్ధించును,శుభకార్యముల్లో
విభూతి భస్మం,కూడదు,తీర్ధప్రసాదములు
ఆకాశ వర్ణము,మేలు,హోమభస్మాలు
గమనిక హోమభస్మాన్ని,ఉంచకూడదు,పరిస్థితుల్లోనూ నేలపై
ఒంటి నిండా,అంటారు,దానిని
బూడిద,అంటాం,దానిని
ఉదజని వాయువును,నీరు,ఆమ్లజని
కాకానూరు కర్నూలు,గ్రామము,జిల్లా ఆత్మకూరు
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల కర్నూలు
డిగ్రీ డాక్టరు,ఉన్నారు,ఒకరు
గ్రామంలో కుళాయిల,అవుతోంది,నీరు
కాలువ వాగు,లభిస్తుంది,గ్రామానికి
మురుగు నీటిని,తున్నారు,జలవనరుల్లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
కాకానూరులో వ్యవసాయానికి,జరుగుతోంది,వనరుల
గొమ్ము అయ్యవారిగూడెం,గ్రామము,గోదావరి మండలానికి
బాలబడి ప్రాథమికోన్నత,ఉన్నాయి,కూనవరంలో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల భద్రాచలంలోనూ
వైద్య కళాశాల,ఉన్నాయి,కళాశాల భద్రాచలంలోనూ
వృత్తి విద్యా,ఉన్నాయి,పాల్వంచలోను ఖమ్మం
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీటిని శుద్ధి,పంపిస్తున్నారు,ప్లాంట్‌లోకి
గ్రామం పారిశుధ్య,రావట్లేదు,పథకం కిందకు
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గొమ్ము అయ్యవారిగూడెంలో,అవుతున్నాయి,వస్తువులు
కమతంపల్లె అనంతపురం,గ్రామము,జిల్లా మండలానికి
బాలబడి ప్రాథమికోన్నత,ఉన్నాయి,కదిరిలో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల అనంతపురంలోనూ
సమీప వైద్య,ఉన్నాయి,కళాశాల కదిరిలోనూ
వృత్తి విద్యా,ఉన్నాయి,గాండ్లపెంటలోను కదిరిలోనూ
గ్రామంలో కుళాయిల,అవుతోంది,నీరు
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
కమతంపల్లెలో వ్యవసాయానికి,జరుగుతోంది,వనరుల
వేరుశనగ వరి,చూడండి,వివరాలకు
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల కళాశాల హిందూపురంలో
వైద్య కళాశాల,ఉన్నాయి,అనంతపురంలోను కళాశాల హిందూపురంలోనూ
ఎమ్బీబీయెస్ డాక్టరు,ఉన్నారు,నలుగురు
గ్రామంలో కుళాయిల,అవుతోంది,నీరు
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
ప్రభుత్వ ప్రాథమిక,ఉన్నాయి,ఒకటి
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల ఖమ్మంలోనూ
వైద్య కళాశాల,ఉన్నాయి,కళాశాల ఖమ్మంలో
వృత్తి విద్యా,ఉన్నాయి,ఖమ్మం
సంచార వైద్య,లేరు,శాలలో
గ్రామంలో ప్రైవేటు,సౌకర్యాలున్నాయి,వైద్య
డిగ్రీ డాక్టర్లు,ఉన్నారు,ఇద్దరు
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
ములగుంటపాడు ప్రకాశం,గ్రామము,జిల్లా మండలానికి
పంచాయతీ రాష్ట్రంలో,ఎంపికైనది,పంచాయతీగా
జాతీయ పంచాయతీరాజ్,2017,వేడ్కలలో
24న విజయవాడలో,అందజేసెదరు,చేతులమీదుగా
పండు రామాఫలం,దొరుకుతుంది,రకాల్లోనూ
మార్కెట్లో అవి,చేస్తుంది,కనిపిస్తాయా
దక్షిణ అమెరికా,తీసుకొచ్చారట,దేశాల్లో మనదేశానికి శతాబ్దంలో
సీతాఫలం అమృతఫలాన్ని,పిలుస్తారు,సీతాఫలాన్నే
దక్షిణ అమెరికా,పండుతుంది,మనదేశంలోనూ
భాగాల్నీ వ్యాధుల,వాడతారట,నివారణలో
బెరడుని డికాక్షన్‌,తగ్గిస్తుందట,డయేరియాని
ఆకుల కషాయం,నివారిస్తుందట,జలుబుని
గుజ్జు నోటిలోని,పెంచుతుంది,జీర్ణరసాలను
పండు గుజ్జును,తాగించాలి,* పిల్లలకు
* మలబద్ధకంతో,పనిచేస్తుంది,బాధపడేవారికి దివ్యౌషధంలా
డైటింగ్‌ నియమాలు,స్వీకరించవచ్చు,సైతం ఫలాన్ని
పండులోని సల్ఫర్‌,తగ్గిస్తుంది,చర్మవ్యాధుల్నీ
సీతాఫలం గుజ్జు,వేస్తుంది,వెలుపలికి
ఆకుల్లోని హైడ్రోస్తెనిక్‌,తగ్గిస్తుంది,సమస్యల్ని
ఆకుల్ని బోరిక్‌,ఉండదు,మూలల్లో
సీతాఫలం బెరడును,ఇస్తుంటారు,విరేచనాలతో
* సీతాఫలం,ఉండదు,గింజల్ని తలకు
గర్భిణులు పండును,తినాలి,సాధ్యమైంత
పొరబాటున గింజలు,ప్రమాదముంది,లోపలికి
అరచెంచా వాము,లభిస్తుంది,ఉప్పు
మధుమేహ వ్యాధి,తీసుకోవాలి,సలహాతో
* జలుబు,మంచిది,సమస్యలో
నోటిలో జీర్ణరసాలను,పండుకు,ఊరేలా
మెగ్నీషియం శరీరంలోని,విశ్రాంతినిస్తుంది,కండరాలకు
కాల్షియం ఎముకల,పెంచుతుంది,పటుత్వాన్ని
ఉబ్బసం రోగులు,తినాలి,సలహా
సీతాఫలాలను ఖాళీ,తినాలి,కడుపుతో
బాలబడి మాధ్యమిక,ఉన్నాయి,గుమ్మడిదలలో
సైన్స్ డిగ్రీ,ఉన్నాయి,నర్సాపూర్లోనూ
సమీప మేనేజిమెంటు,ఉన్నాయి,కళాశాల కళాశాల సంగారెడ్డిలోనూ
వృత్తి విద్యా,ఉన్నాయి,హైదరాబాదు
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల అనంతపురంలోనూ
సమీప వైద్య,ఉన్నాయి,కళాశాల కదిరిలోనూ
వృత్తి విద్యా,ఉన్నాయి,నల్లమాడలోను అనంతపురంలోనూ
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
పినపాలెం విశాఖపట్నం,గ్రామము,జిల్లా మండలానికి
బాలబడి మాధ్యమిక,ఉన్నాయి,గడుతూరులోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల పాడేరులోనూ
సమీప వైద్య,ఉన్నాయి,కళాశాల పాడేరులోనూ
వృత్తి విద్యా,ఉన్నాయి,అనకాపల్లిలోను
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీటిని శుద్ధి,పంపిస్తున్నారు,ప్లాంట్‌లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
బాలబడి ప్రాథమిక,ఉన్నాయి,తెంబూరులోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల టెక్కలిలోనూ
వైద్య కళాశాల,ఉన్నాయి,టెక్కలిలోనూ
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
